Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año]
CENS GD Y AG (165 Proyectos),Solar,2.39,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,54,54001,2022-05-31T00:00:00.000,11472,1989,10277000000,17,3350
ENERCA GD Y AG,Solar,1.26,CASANARE,YOPAL,85,85001,2021-07-22T00:00:00.000,6048,1049,5418000000,9,1766
AIRE GD Y AG,Solar,12.1,ATLÁNTICO,BARRANQUILLA,08,08001,2021-07-22T00:00:00.000,58080,10072,52030000000,84,16959
LA PAILA,Solar,9.9,VALLE DEL CAUCA,ZARZAL,76,76895,2021-08-07T00:00:00.000,47520,8240,42570000000,69,13876
LA SIERPE SOLAR,Solar,19.9,SUCRE,SAN BENITO ABAD,70,70678,2021-08-31T00:00:00.000,95520,16564,85570000000,139,27892
SAN FERNANDO,Solar,61,META,CASTILLA LA NUEVA,50,50150,2021-10-22T00:00:00.000,292800,50775,262300000000,425,85498
COMPLEJO SOLAR RELIANZ CAT,Solar,1.85,ATLÁNTICO,GALAPA,08,08296,2021-11-25T00:00:00.000,8880,1540,7955000000,13,2593
ZONA FRANCA LA CAYENA,Solar,1.8,ATLÁNTICO,BARRANQUILLA,08,08001,2021-11-25T00:00:00.000,8640,1498,7740000000,13,2523
COMPLEJO SUR BOGOTÁ,Solar,0.3,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2021-12-10T00:00:00.000,1440,250,1290000000,2,420
CEO GD Y AG (34 Proyectos),Solar,10.02,CAUCA,POPAYÁN,19,19001,2022-05-31T00:00:00.000,48096,8340,43086000000,70,14044
EDEQ GD Y AG (64 Proyectos),Solar,1.13,QUINDÍO,ARMENIA,63,63001,2022-05-31T00:00:00.000,5424,941,4859000000,8,1584
ELECTROHUILA GD Y AG (125 Proyectos),Solar,2.35,HUILA,NEIVA,41,41001,2022-05-31T00:00:00.000,11280,1956,10105000000,16,3294
GR PARQUE SOLAR TUCANES,Solar,9.9,BOLÍVAR,CARTAGENA DE INDIAS,13,13001,2022-05-31T00:00:00.000,47520,8240,42570000000,69,13876
PARQUE EÓLICO GUAJIRA I,Eólico,19.9,LA GUAJIRA,URIBIA,44,44847,2021-12-31T00:00:00.000,191040,33128,85570000000,55,55784
LA LOMA SOLAR (ENEL GREEN POWER),Solar,170,CESAR,EL PASO,20,20250,2021-12-31T00:00:00.000,816000,141503,731000000000,1183,238272
